fiscal_year,posting_date,description,amount,vendor_name,org2_name,cat1_name,cat2_name,fund1_name,fund2_name
2017,2016-07-31,CASH DISBURSEMENTS,-18.96,Not Applicable,NA,BUILDING PERMITS,BUILDING PERMITS,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,-7500,Not Applicable,NA,GRANTS FROM LOCAL UNITS,GRANTS FROM LOCAL UNITS,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,-111.98,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-07-31,CASH RECEIPTS - MANUAL ENTRIES,589.93,Not Applicable,NA,"PROPERTY, VEHICLE TAX","PROPERTY, VEHICLE TAX",General Fund,NA
2017,2016-07-31,CASH RECEIPTS - MANUAL ENTRIES,75,Not Applicable,NA,BUILDING PERMITS,BUILDING PERMITS,General Fund,NA
2017,2016-07-31,CASH RECEIPTS - MANUAL ENTRIES,40,Not Applicable,NA,BUILDING PERMITS,BUILDING PERMITS,General Fund,NA
2017,2016-07-31,CASH RECEIPTS - MANUAL ENTRIES,2321.38,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-07-31,CASH RECEIPTS - MANUAL ENTRIES,1669.56,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-07-31,CASH RECEIPTS - MANUAL ENTRIES,2293.41,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-07-31,CASH RECEIPTS - MANUAL ENTRIES,98.11,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-07-31,CASH RECEIPTS - MANUAL ENTRIES,873.38,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-07-31,JOURNAL ENTRIES,-155091.91,Not Applicable,NA,B&C ROAD,B&C ROAD,General Fund,NA
2017,2016-07-31,JOURNAL ENTRIES,-124.2,Not Applicable,NA,B&C ROAD,B&C ROAD,General Fund,NA
2017,2016-07-31,JOURNAL ENTRIES,155091.91,Not Applicable,NA,REDEPOSITS AND CR MEMO,REDEPOSITS AND CR MEMO,General Fund,NA
2017,2016-07-31,JOURNAL ENTRIES,4275.12,Not Applicable,NA,REDEPOSITS AND CR MEMO,REDEPOSITS AND CR MEMO,General Fund,NA
2017,2016-07-31,JOURNAL ENTRIES,-3.42,Not Applicable,NA,IMPACT FEES,IMPACT FEES,General Fund,NA
2017,2016-07-31,JOURNAL ENTRIES,-4275.12,Not Applicable,NA,IMPACT FEES,IMPACT FEES,General Fund,NA
2017,2016-07-31,JOURNAL ENTRIES,16.17,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2016-07-31,JOURNAL ENTRIES,124.2,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2016-07-31,JOURNAL ENTRIES,3.42,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2016-07-31,JOURNAL ENTRIES,118.74,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,-207.78,Not Applicable,NA,BUILDING PERMITS,BUILDING PERMITS,General Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,-54.88,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,-10,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-08-31,CASH RECEIPTS - MANUAL ENTRIES,70,Not Applicable,NA,BUSINESS LICENSES,BUSINESS LICENSES,General Fund,NA
2017,2016-08-31,CASH RECEIPTS - MANUAL ENTRIES,316.81,Not Applicable,NA,"PROPERTY, VEHICLE TAX","PROPERTY, VEHICLE TAX",General Fund,NA
2017,2016-08-31,CASH RECEIPTS - MANUAL ENTRIES,476.47,Not Applicable,NA,"PROPERTY, VEHICLE TAX","PROPERTY, VEHICLE TAX",General Fund,NA
2017,2016-08-31,CASH RECEIPTS - MANUAL ENTRIES,1831.65,Not Applicable,NA,BUILDING PERMITS,BUILDING PERMITS,General Fund,NA
2017,2016-08-31,CASH RECEIPTS - MANUAL ENTRIES,1693.14,Not Applicable,NA,BUILDING PERMITS,BUILDING PERMITS,General Fund,NA
2017,2016-08-31,CASH RECEIPTS - MANUAL ENTRIES,3133.66,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-08-31,CASH RECEIPTS - MANUAL ENTRIES,100,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-08-31,CASH RECEIPTS - MANUAL ENTRIES,1622.76,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-08-31,CASH RECEIPTS - MANUAL ENTRIES,1144.57,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-08-31,CASH RECEIPTS - MANUAL ENTRIES,389.24,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-08-31,CASH RECEIPTS - MANUAL ENTRIES,3314.01,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-08-31,JOURNAL ENTRIES,-131.41,Not Applicable,NA,B&C ROAD,B&C ROAD,General Fund,NA
2017,2016-08-31,JOURNAL ENTRIES,-3.62,Not Applicable,NA,IMPACT FEES,IMPACT FEES,General Fund,NA
2017,2016-08-31,JOURNAL ENTRIES,126.86,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2016-08-31,JOURNAL ENTRIES,17.11,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2016-08-31,JOURNAL ENTRIES,3.62,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2016-08-31,JOURNAL ENTRIES,131.41,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2016-09-30,CASH RECEIPTS - MANUAL ENTRIES,170,Not Applicable,NA,BUILDING PERMITS,BUILDING PERMITS,General Fund,NA
2017,2016-09-30,CASH RECEIPTS - MANUAL ENTRIES,15,Not Applicable,NA,COPIES,COPIES,General Fund,NA
2017,2016-09-30,CASH RECEIPTS - MANUAL ENTRIES,307,Not Applicable,NA,FIRE DEPARTMENT REVENUE,FIRE DEPARTMENT REVENUE,General Fund,NA
2017,2016-09-30,CASH RECEIPTS - MANUAL ENTRIES,5,Not Applicable,NA,FIRE DEPARTMENT REVENUE,FIRE DEPARTMENT REVENUE,General Fund,NA
2017,2016-09-30,CASH RECEIPTS - MANUAL ENTRIES,15,Not Applicable,NA,FIRE DEPARTMENT REVENUE,FIRE DEPARTMENT REVENUE,General Fund,NA
2017,2016-09-30,CASH RECEIPTS - MANUAL ENTRIES,30,Not Applicable,NA,FIRE DEPARTMENT REVENUE,FIRE DEPARTMENT REVENUE,General Fund,NA
2017,2016-09-30,CASH RECEIPTS - MANUAL ENTRIES,50,Not Applicable,NA,FIRE DEPARTMENT REVENUE,FIRE DEPARTMENT REVENUE,General Fund,NA
2017,2016-09-30,CASH RECEIPTS - MANUAL ENTRIES,940.91,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-09-30,CASH RECEIPTS - MANUAL ENTRIES,722.29,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-09-30,CASH RECEIPTS - MANUAL ENTRIES,1747.41,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-09-30,CASH RECEIPTS - MANUAL ENTRIES,1333.35,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-09-30,CASH RECEIPTS - MANUAL ENTRIES,1847.96,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-09-30,CASH RECEIPTS - MANUAL ENTRIES,1181.94,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-09-30,JOURNAL ENTRIES,-128.41,Not Applicable,NA,B&C ROAD,B&C ROAD,General Fund,NA
2017,2016-09-30,JOURNAL ENTRIES,118635,Not Applicable,NA,B&C ROAD,B&C ROAD,General Fund,NA
2017,2016-09-30,JOURNAL ENTRIES,-3.73,Not Applicable,NA,IMPACT FEES,IMPACT FEES,General Fund,NA
2017,2016-09-30,JOURNAL ENTRIES,128.41,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2016-09-30,JOURNAL ENTRIES,133.7,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2016-09-30,JOURNAL ENTRIES,3.73,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2016-09-30,JOURNAL ENTRIES,17.62,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,-313.99,Not Applicable,NA,BUILDING PERMITS,BUILDING PERMITS,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,-131668.76,Not Applicable,NA,GRANTS FROM LOCAL UNITS,GRANTS FROM LOCAL UNITS,General Fund,NA
2017,2016-10-31,CASH RECEIPTS - MANUAL ENTRIES,495.51,Not Applicable,NA,"PROPERTY, VEHICLE TAX","PROPERTY, VEHICLE TAX",General Fund,NA
2017,2016-10-31,CASH RECEIPTS - MANUAL ENTRIES,1e3,Not Applicable,NA,"PROPERTY, VEHICLE TAX","PROPERTY, VEHICLE TAX",General Fund,NA
2017,2016-10-31,CASH RECEIPTS - MANUAL ENTRIES,6370.81,Not Applicable,NA,BUILDING PERMITS,BUILDING PERMITS,General Fund,NA
2017,2016-10-31,CASH RECEIPTS - MANUAL ENTRIES,500,Not Applicable,NA,BUILDING PERMITS,BUILDING PERMITS,General Fund,NA
2017,2016-10-31,CASH RECEIPTS - MANUAL ENTRIES,7147.1,Not Applicable,NA,BUILDING PERMITS,BUILDING PERMITS,General Fund,NA
2017,2016-10-31,CASH RECEIPTS - MANUAL ENTRIES,149.8,Not Applicable,NA,BUILDING PERMITS,BUILDING PERMITS,General Fund,NA
2017,2016-10-31,CASH RECEIPTS - MANUAL ENTRIES,144900.16,Not Applicable,NA,GRANTS FROM LOCAL UNITS,GRANTS FROM LOCAL UNITS,General Fund,NA
2017,2016-10-31,CASH RECEIPTS - MANUAL ENTRIES,145.5,Not Applicable,NA,COPIES,COPIES,General Fund,NA
2017,2016-10-31,CASH RECEIPTS - MANUAL ENTRIES,64.5,Not Applicable,NA,COPIES,COPIES,General Fund,NA
2017,2016-10-31,CASH RECEIPTS - MANUAL ENTRIES,230.17,Not Applicable,NA,FIRE DEPARTMENT REVENUE,FIRE DEPARTMENT REVENUE,General Fund,NA
2017,2016-10-31,CASH RECEIPTS - MANUAL ENTRIES,1006.69,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-10-31,CASH RECEIPTS - MANUAL ENTRIES,587.42,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-10-31,CASH RECEIPTS - MANUAL ENTRIES,268.24,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-10-31,CASH RECEIPTS - MANUAL ENTRIES,2835.25,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-10-31,CASH RECEIPTS - MANUAL ENTRIES,2080.09,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-10-31,CASH RECEIPTS - MANUAL ENTRIES,417.24,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-10-31,CASH RECEIPTS - MANUAL ENTRIES,192,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-10-31,CASH RECEIPTS - MANUAL ENTRIES,198.07,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-10-31,JOURNAL ENTRIES,-27427.69,Not Applicable,NA,B&C ROAD,B&C ROAD,General Fund,NA
2017,2016-10-31,JOURNAL ENTRIES,-56.64,Not Applicable,NA,B&C ROAD,B&C ROAD,General Fund,NA
2017,2016-10-31,JOURNAL ENTRIES,-4,Not Applicable,NA,IMPACT FEES,IMPACT FEES,General Fund,NA
2017,2016-10-31,JOURNAL ENTRIES,124.22,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2016-10-31,JOURNAL ENTRIES,18.88,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2016-10-31,JOURNAL ENTRIES,56.64,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2016-10-31,JOURNAL ENTRIES,4,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,-36.94,Not Applicable,NA,BUILDING PERMITS,BUILDING PERMITS,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,-17,Not Applicable,NA,COPIES,COPIES,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,-10,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,-57,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,-9.68,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-11-30,CASH RECEIPTS - MANUAL ENTRIES,200,Not Applicable,NA,"PROPERTY, VEHICLE TAX","PROPERTY, VEHICLE TAX",General Fund,NA
2017,2016-11-30,CASH RECEIPTS - MANUAL ENTRIES,106.05,Not Applicable,NA,BUILDING PERMITS,BUILDING PERMITS,General Fund,NA
2017,2016-11-30,CASH RECEIPTS - MANUAL ENTRIES,22.5,Not Applicable,NA,COPIES,COPIES,General Fund,NA
2017,2016-11-30,CASH RECEIPTS - MANUAL ENTRIES,273.4,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-11-30,CASH RECEIPTS - MANUAL ENTRIES,522.87,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-11-30,CASH RECEIPTS - MANUAL ENTRIES,1140.25,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-11-30,CASH RECEIPTS - MANUAL ENTRIES,1846.65,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-11-30,CASH RECEIPTS - MANUAL ENTRIES,1460.09,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-11-30,JOURNAL ENTRIES,-59.38,Not Applicable,NA,B&C ROAD,B&C ROAD,General Fund,NA
2017,2016-11-30,JOURNAL ENTRIES,-3.96,Not Applicable,NA,IMPACT FEES,IMPACT FEES,General Fund,NA
2017,2016-11-30,JOURNAL ENTRIES,59.38,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2016-11-30,JOURNAL ENTRIES,3.96,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2016-11-30,JOURNAL ENTRIES,18.71,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2016-11-30,JOURNAL ENTRIES,135.82,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2016-12-31,CASH RECEIPTS - MANUAL ENTRIES,35,Not Applicable,NA,BUSINESS LICENSES,BUSINESS LICENSES,General Fund,NA
2017,2016-12-31,CASH RECEIPTS - MANUAL ENTRIES,863.92,Not Applicable,NA,"PROPERTY, VEHICLE TAX","PROPERTY, VEHICLE TAX",General Fund,NA
2017,2016-12-31,CASH RECEIPTS - MANUAL ENTRIES,18257.03,Not Applicable,NA,"PROPERTY, VEHICLE TAX","PROPERTY, VEHICLE TAX",General Fund,NA
2017,2016-12-31,CASH RECEIPTS - MANUAL ENTRIES,50,Not Applicable,NA,COMMUNITY CENTER GRANT,COMMUNITY CENTER GRANT,General Fund,NA
2017,2016-12-31,CASH RECEIPTS - MANUAL ENTRIES,2336.01,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-12-31,CASH RECEIPTS - MANUAL ENTRIES,72.32,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-12-31,CASH RECEIPTS - MANUAL ENTRIES,1044.18,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-12-31,CASH RECEIPTS - MANUAL ENTRIES,1392.66,Not Applicable,NA,WATER AND SEWER REVENUES,WATER AND SEWER REVENUES,Water Fund,NA
2017,2016-12-31,JOURNAL ENTRIES,-62.65,Not Applicable,NA,B&C ROAD,B&C ROAD,General Fund,NA
2017,2016-12-31,JOURNAL ENTRIES,-4.18,Not Applicable,NA,IMPACT FEES,IMPACT FEES,General Fund,NA
2017,2016-12-31,JOURNAL ENTRIES,62.65,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2016-12-31,JOURNAL ENTRIES,151.5,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2016-12-31,JOURNAL ENTRIES,4.18,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2016-12-31,JOURNAL ENTRIES,19.74,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2017-01-07,CASH RECEIPTS - MANUAL ENTRIES,35,Not Applicable,NA,BUSINESS LICENSES,BUSINESS LICENSES,General Fund,NA
2017,2017-01-07,CASH RECEIPTS - MANUAL ENTRIES,75,Not Applicable,NA,BUSINESS LICENSES,BUSINESS LICENSES,General Fund,NA
2017,2017-01-07,CASH RECEIPTS - MANUAL ENTRIES,150,Not Applicable,NA,BUSINESS LICENSES,BUSINESS LICENSES,General Fund,NA
2017,2017-01-07,CASH RECEIPTS - MANUAL ENTRIES,100,Not Applicable,NA,BUSINESS LICENSES,BUSINESS LICENSES,General Fund,NA
2017,2017-01-07,CASH RECEIPTS - MANUAL ENTRIES,775,Not Applicable,NA,CEMETERY REVENUE,CEMETERY REVENUE,General Fund,NA
2017,2017-01-07,CASH RECEIPTS - MANUAL ENTRIES,1558.8,Not Applicable,NA,Water Revenues,WATER REVENUES,Water Fund,NA
2017,2017-01-07,CASH RECEIPTS - MANUAL ENTRIES,456.46,Not Applicable,NA,Water Revenues,WATER REVENUES,Water Fund,NA
2017,2017-01-09,CASH RECEIPTS - MANUAL ENTRIES,1549.51,Not Applicable,NA,Water Revenues,WATER REVENUES,Water Fund,NA
2017,2017-01-13,CASH RECEIPTS - MANUAL ENTRIES,3500.44,Not Applicable,NA,"PROPERTY, VEHICLE TAX","PROPERTY, VEHICLE TAX",General Fund,NA
2017,2017-01-13,CASH RECEIPTS - MANUAL ENTRIES,848.29,Not Applicable,NA,Water Revenues,WATER REVENUES,Water Fund,NA
2017,2017-01-15,JOURNAL ENTRIES,1165.33,Not Applicable,NA,Water Revenues,WATER REVENUES,Water Fund,NA
2017,2017-01-17,CASH RECEIPTS - MANUAL ENTRIES,689.98,Not Applicable,NA,Water Revenues,WATER REVENUES,Water Fund,NA
2017,2017-01-26,CASH RECEIPTS - MANUAL ENTRIES,35,Not Applicable,NA,BUSINESS LICENSES,BUSINESS LICENSES,General Fund,NA
2017,2017-01-26,CASH RECEIPTS - MANUAL ENTRIES,55,Not Applicable,NA,BUILDING PERMITS,BUILDING PERMITS,General Fund,NA
2017,2017-01-26,CASH RECEIPTS - MANUAL ENTRIES,277.66,Not Applicable,NA,Water Revenues,WATER REVENUES,Water Fund,NA
2017,2017-01-28,JOURNAL ENTRIES,210.21,Not Applicable,NA,Water Revenues,WATER REVENUES,Water Fund,NA
2017,2017-01-31,JOURNAL ENTRIES,-64.62,Not Applicable,NA,B&C ROAD,B&C ROAD,General Fund,NA
2017,2017-01-31,JOURNAL ENTRIES,64.62,Not Applicable,NA,B&C ROAD,B&C ROAD,General Fund,NA
2017,2017-01-31,JOURNAL ENTRIES,5220.59,Not Applicable,NA,B&C ROAD,B&C ROAD,General Fund,NA
2017,2017-01-31,JOURNAL ENTRIES,3562.43,Not Applicable,NA,SALES TAX,SALES TAX,General Fund,NA
2017,2017-01-31,JOURNAL ENTRIES,-4.31,Not Applicable,NA,IMPACT FEES,IMPACT FEES,General Fund,NA
2017,2017-01-31,JOURNAL ENTRIES,4.31,Not Applicable,NA,IMPACT FEES,IMPACT FEES,General Fund,NA
2017,2017-01-31,JOURNAL ENTRIES,20.36,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2017-01-31,JOURNAL ENTRIES,4.31,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2017-01-31,JOURNAL ENTRIES,64.62,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2017-01-31,JOURNAL ENTRIES,161.95,Not Applicable,NA,Interest income,INTEREST INCOME,General Fund,NA
2017,2017-02-06,CASH RECEIPTS - MANUAL ENTRIES,35,Not Applicable,NA,BUSINESS LICENSES,BUSINESS LICENSES,General Fund,NA
2017,2017-02-06,CASH DISBURSEMENTS,-69.26,Not Applicable,NA,BUILDING PERMITS,BUILDING PERMITS,General Fund,NA
2017,2017-02-06,CASH RECEIPTS - MANUAL ENTRIES,50,Not Applicable,NA,COPIES,COPIES,General Fund,NA
2017,2017-02-06,CASH RECEIPTS - MANUAL ENTRIES,1462.02,Not Applicable,NA,Water Revenues,WATER REVENUES,Water Fund,NA
2017,2017-02-08,CASH RECEIPTS - MANUAL ENTRIES,827.09,Not Applicable,NA,Water Revenues,WATER REVENUES,Water Fund,NA
